 Age , Gender , Income_Level , Marital_Status , Education_Level , Occupation , Purchase_Category , Purchase_Amount , Frequency_of_Purchase , Purchase_Channel , Brand_Loyalty , Product_Rating , Time_Spent_on_Product_Research(hours) , Social_Media_Influence , Discount_Sensitivity , Return_Rate , Customer_Satisfaction , Engagement_with_Ads , Device_Used_for_Shopping , Payment_Method , Time_of_Purchase , Discount_Used , Customer_Loyalty_Program_Member , Purchase_Intent , Shipping_Preference , Time_to_Decision 
19.0,Female,High,Married,,High,,$393.78 ,6.0,Online,,4.0,,Medium,Very Sensitive,0.0,5.0,Low,Tablet,Other,3/25/2024,True,False,Need-based,No Preference,14.0
27.0,Female,High,Widowed,Master's,High,Clothing,$245.04 ,4.0,Online,3.0,2.0,0.0,High,Not Sensitive,2.0,6.0,High,Tablet,Other,12/3/2024,True,True,Need-based,,10.0
26.0,Female,High,Divorced,Master's,,Beauty & Personal Care,$111.27 ,3.0,Online,1.0,,1.0,High,Very Sensitive,2.0,10.0,,Smartphone,,5/13/2024,False,False,Impulsive,No Preference,12.0
26.0,Female,High,Single,,Middle,Baby Products,$93.29 ,11.0,,2.0,2.0,0.0,High,Very Sensitive,0.0,7.0,Low,Tablet,Other,7/25/2024,True,False,Impulsive,No Preference,9.0
27.0,Female,High,Married,High School,Middle,Hotels,$156.50 ,5.0,Mixed,1.0,1.0,1.0,High,Very Sensitive,0.0,3.0,High,Desktop,Other,1/10/2024,True,False,Wants-based,Standard,14.0
37.0,Male,Middle,Single,,Middle,Packages),$290.11 ,,Mixed,4.0,4.0,1.0,Medium,Very Sensitive,1.0,4.0,Medium,Smartphone,PayPal,10/30/2024,False,False,Impulsive,No Preference,14.0
23.0,Female,Middle,Single,,Middle,Software & Apps,,3.0,Mixed,5.0,5.0,0.0,Low,Very Sensitive,1.0,4.0,Low,Smartphone,Credit Card,9/17/2024,True,True,Planned,No Preference,5.0
31.0,Bigender,Middle,Single,Bachelor's,High,Gardening & Outdoors,$73.74 ,7.0,Online,4.0,2.0,0.3,High,Not Sensitive,1.0,3.0,Medium,Smartphone,Other,8/17/2024,False,False,Wants-based,Standard,13.0
,Female,Middle,Widowed,Master's,Middle,Sports & Outdoors,$170.35 ,10.0,In-Store,2.0,1.0,1.0,Medium,Very Sensitive,1.0,10.0,Low,Desktop,Cash,6/3/2024,True,True,,Standard,1.0
36.0,Female,High,Single,Master's,Middle,Home Appliances,$123.70 ,6.0,Online,2.0,5.0,0.0,High,Very Sensitive,1.0,5.0,,Smartphone,Other,7/28/2024,False,False,Impulsive,Express,2.0
,Female,Middle,Single,Master's,High,Gardening & Outdoors,$201.60 ,9.0,In-Store,1.0,4.0,2.0,Medium,,1.0,4.0,High,Smartphone,PayPal,10/24/2024,False,False,Impulsive,Express,14.0
27.0,Female,Middle,Single,Master's,High,Furniture,$116.14 ,11.0,Mixed,1.0,4.0,1.0,High,Somewhat Sensitive,0.0,8.0,Medium,Desktop,Credit Card,4/1/2024,False,True,,Express,14.0
29.0,Female,Middle,Single,Master's,High,Jewelry & Accessories,$483.38 ,9.0,Online,2.0,1.0,0.0,High,Somewhat Sensitive,2.0,3.0,High,Desktop,Other,6/9/2024,False,True,Need-based,Standard,8.0
24.0,,Middle,Single,High School,Middle,Health Supplements,,9.0,In-Store,1.0,2.0,0.0,Low,Not Sensitive,0.0,9.0,,Smartphone,Other,11/14/2024,True,False,Need-based,Standard,11.0
33.0,Female,Middle,Divorced,Bachelor's,Middle,,$139.83 ,12.0,Online,2.0,4.0,2.0,,Not Sensitive,0.0,1.0,,Tablet,Cash,10/8/2024,False,False,Impulsive,Express,10.0
38.0,Female,High,Married,Master's,Middle,Arts & Crafts,$54.17 ,4.0,Mixed,4.0,5.0,0.0,Medium,Somewhat Sensitive,2.0,2.0,Medium,Desktop,Credit Card,1/11/2024,False,True,Planned,No Preference,7.0
47.0,Male,High,Divorced,Master's,High,Jewelry & Accessories,$437.59 ,,In-Store,1.0,4.0,0.0,,Very Sensitive,0.0,4.0,High,Tablet,Credit Card,2/26/2024,True,True,Impulsive,Express,9.0
,Male,,Widowed,Bachelor's,High,,$113.57 ,5.0,Online,4.0,4.0,2.0,Medium,,1.0,1.0,High,Tablet,Cash,11/1/2024,False,True,Wants-based,Standard,8.0
21.0,Bigender,High,Single,High School,High,Packages),$305.54 ,6.0,In-Store,3.0,5.0,0.0,Medium,Somewhat Sensitive,0.0,5.0,Medium,Smartphone,Other,3/28/2024,True,False,Wants-based,No Preference,7.0
23.0,Female,High,Divorced,High School,High,Food & Beverages,$339.12 ,2.0,In-Store,4.0,4.0,0.0,Medium,Not Sensitive,,5.0,Low,Smartphone,PayPal,1/8/2024,False,False,Impulsive,No Preference,1.0
45.0,Non-binary,Middle,Divorced,Bachelor's,High,Jewelry & Accessories,,11.0,Mixed,2.0,,2.0,Low,Very Sensitive,0.0,8.0,,Smartphone,Credit Card,2/28/2024,True,True,Need-based,Standard,10.0
24.0,Genderfluid,Middle,Married,High School,Middle,,$472.61 ,9.0,In-Store,5.0,5.0,2.0,,Very Sensitive,1.0,4.0,,Smartphone,PayPal,9/15/2024,True,True,,Express,5.0
20.0,Female,Middle,Widowed,High School,Middle,,$68.02 ,10.0,Online,3.0,2.0,1.0,,Very Sensitive,1.0,6.0,,Tablet,Credit Card,11/1/2024,True,True,Need-based,Express,6.0
27.0,Male,,Single,Master's,Middle,Toys & Games,$199.44 ,7.0,Online,2.0,1.0,2.0,,Very Sensitive,0.0,3.0,,Tablet,Cash,7/14/2024,False,True,Need-based,Standard,
47.0,Male,High,Divorced,,Middle,Sports & Outdoors,$250.73 ,4.0,Online,3.0,2.0,1.0,Low,Somewhat Sensitive,1.0,10.0,,Desktop,Cash,4/24/2024,False,True,Planned,No Preference,10.0
34.0,Male,Middle,Single,High School,Middle,Clothing,,12.0,Online,4.0,3.0,0.0,High,Very Sensitive,0.0,5.0,Medium,Desktop,Debit Card,,True,False,Planned,No Preference,7.0
,Male,High,Widowed,High School,,Books,$186.85 ,2.0,Online,3.0,1.0,2.0,High,Not Sensitive,2.0,8.0,Low,Smartphone,Other,2/20/2024,True,False,Impulsive,,12.0
26.0,Male,High,Widowed,Master's,Middle,Sports & Outdoors,$73.32 ,10.0,In-Store,,1.0,1.0,,Not Sensitive,1.0,1.0,Medium,Smartphone,Debit Card,1/27/2024,True,False,Wants-based,Standard,14.0
49.0,Male,Middle,Widowed,Bachelor's,Middle,Clothing,$214.59 ,6.0,Online,1.0,1.0,0.0,,Somewhat Sensitive,1.0,8.0,Low,Tablet,Other,2/9/2024,True,False,Wants-based,,9.0
47.0,Female,Middle,Widowed,,Middle,Furniture,$467.32 ,12.0,In-Store,4.0,4.0,2.0,Medium,Somewhat Sensitive,2.0,,Low,Smartphone,PayPal,1/28/2024,False,True,Need-based,No Preference,11.0
18.0,Male,Middle,Married,Master's,Middle,,$475.65 ,4.0,In-Store,4.0,5.0,0.0,High,Somewhat Sensitive,2.0,6.0,Low,Smartphone,PayPal,6/23/2024,True,True,Wants-based,Express,14.0
48.0,Female,Middle,Widowed,Master's,High,Animal Feed,$161.38 ,11.0,Mixed,5.0,3.0,0.0,,Very Sensitive,1.0,10.0,High,Tablet,Debit Card,8/20/2024,True,True,Impulsive,Standard,10.0
19.0,Male,Middle,Single,Bachelor's,Middle,Baby Products,$249.78 ,4.0,In-Store,5.0,4.0,0.0,Low,Very Sensitive,0.0,1.0,,Desktop,PayPal,11/24/2024,False,False,Wants-based,,11.0
39.0,Female,Middle,Divorced,High School,High,Clothing,$149.88 ,9.0,Mixed,3.0,2.0,0.0,Low,,1.0,10.0,Low,Smartphone,Debit Card,4/19/2024,False,False,Impulsive,Standard,4.0
48.0,Female,High,Divorced,Master's,Middle,Jewelry & Accessories,$347.09 ,5.0,In-Store,,,,,Somewhat Sensitive,2.0,1.0,,Smartphone,Other,1/26/2024,False,False,Planned,No Preference,7.0
43.0,Female,High,Widowed,Master's,High,Health Care,$345.49 ,9.0,Mixed,3.0,1.0,2.0,High,Not Sensitive,0.0,10.0,Medium,Tablet,PayPal,9/6/2024,True,False,Impulsive,Express,3.0
31.0,Female,High,Divorced,Bachelor's,,Health Care,$297.24 ,2.0,Mixed,1.0,4.0,0.0,Medium,Not Sensitive,,9.0,High,Desktop,PayPal,6/29/2024,True,True,Planned,Express,7.0
28.0,Female,Middle,Divorced,Bachelor's,High,Home Appliances,$494.34 ,12.0,,5.0,3.0,0.25,High,,1.0,8.0,Low,,Debit Card,3/3/2024,False,False,Wants-based,Express,3.0
29.0,Genderqueer,Middle,,Master's,High,Animal Feed,$443.52 ,5.0,In-Store,5.0,3.0,0.0,,Somewhat Sensitive,0.0,7.0,Low,Tablet,Cash,5/10/2024,True,False,Need-based,Standard,9.0
45.0,Genderfluid,Middle,Divorced,High School,High,Jewelry & Accessories,$457.18 ,7.0,In-Store,4.0,3.0,2.0,High,Very Sensitive,2.0,6.0,Medium,Smartphone,Other,8/20/2024,True,True,Wants-based,Express,10.0
38.0,Male,Middle,Single,Master's,High,Books,$407.88 ,4.0,In-Store,1.0,3.0,1.0,,Very Sensitive,1.0,10.0,Medium,Tablet,Cash,11/11/2024,False,False,Planned,Standard,14.0
30.0,Male,Middle,Widowed,Bachelor's,Middle,Books,$448.68 ,8.0,In-Store,4.0,4.0,2.0,High,Somewhat Sensitive,1.0,3.0,Medium,Tablet,Debit Card,5/25/2024,True,False,Wants-based,Express,
40.0,Female,High,Widowed,,High,Electronics,$255.96 ,7.0,Online,5.0,1.0,1.0,High,Very Sensitive,0.0,10.0,,Tablet,Cash,12/23/2024,False,False,Need-based,No Preference,13.0
45.0,Male,Middle,Married,High School,High,Luxury Goods,$146.07 ,7.0,In-Store,4.0,2.0,1.0,Low,Very Sensitive,1.0,6.0,,Tablet,Credit Card,7/7/2024,True,True,Need-based,Standard,1.0
44.0,,High,Single,High School,Middle,Health Supplements,$311.90 ,4.0,In-Store,2.0,4.0,2.0,Low,Very Sensitive,0.0,6.0,High,Smartphone,Credit Card,12/30/2024,False,True,Planned,No Preference,2.0
38.0,Female,Middle,Widowed,High School,Middle,Gardening & Outdoors,$301.60 ,,Mixed,4.0,5.0,1.0,Low,Not Sensitive,2.0,10.0,High,Desktop,Credit Card,3/11/2024,False,False,Impulsive,Standard,13.0
23.0,Polygender,Middle,Widowed,Bachelor's,High,Software & Apps,$297.45 ,3.0,Mixed,1.0,5.0,0.0,Medium,Very Sensitive,0.0,7.0,Low,Tablet,Debit Card,7/7/2024,False,False,Planned,No Preference,4.0
30.0,Genderqueer,High,Widowed,Bachelor's,High,Sports & Outdoors,$157.26 ,3.0,Online,1.0,,1.0,Medium,Not Sensitive,1.0,1.0,,Desktop,Cash,7/24/2024,False,False,Need-based,Standard,8.0
42.0,Male,High,Widowed,Master's,Middle,Health Supplements,$239.46 ,3.0,Mixed,3.0,1.0,0.0,Low,Not Sensitive,2.0,8.0,High,Desktop,Other,8/4/2024,True,True,Planned,Standard,7.0
28.0,Female,High,Widowed,High School,High,Gardening & Outdoors,$240.82 ,10.0,Mixed,1.0,3.0,2.0,High,Somewhat Sensitive,0.0,3.0,Medium,Tablet,PayPal,1/2/2024,True,False,Planned,No Preference,8.0
44.0,Female,Middle,Single,Master's,High,Sports & Outdoors,$302.07 ,6.0,Mixed,1.0,5.0,1.0,Medium,Not Sensitive,2.0,5.0,Medium,,Other,4/9/2024,True,,Planned,,13.0
45.0,Male,Middle,Widowed,Bachelor's,Middle,Software & Apps,$367.99 ,2.0,Online,2.0,5.0,1.0,,Not Sensitive,2.0,2.0,High,Smartphone,Debit Card,,False,False,Planned,Express,8.0
46.0,Female,High,Married,Master's,Middle,Groceries,,7.0,In-Store,,1.0,1.0,High,Not Sensitive,,6.0,Low,Tablet,Other,1/23/2024,False,False,Wants-based,Standard,3.0
28.0,Female,Middle,Divorced,Bachelor's,High,Packages),$204.44 ,2.0,Mixed,5.0,,2.0,,Somewhat Sensitive,1.0,3.0,High,Desktop,Debit Card,12/1/2024,False,True,Impulsive,Standard,13.0
27.0,Male,High,Single,Master's,High,Gardening & Outdoors,$228.93 ,7.0,Online,1.0,1.0,2.0,,Not Sensitive,2.0,,Medium,Desktop,PayPal,2/19/2024,True,True,Impulsive,Express,11.0
20.0,Female,High,Single,High School,Middle,Office Supplies,$355.31 ,11.0,Online,1.0,1.0,0.0,,Not Sensitive,1.0,2.0,Medium,Desktop,Debit Card,8/19/2024,False,True,Impulsive,Express,12.0
40.0,Male,High,Married,High School,High,Animal Feed,$334.67 ,12.0,In-Store,2.0,1.0,2.0,,Somewhat Sensitive,2.0,5.0,,Tablet,Debit Card,11/18/2024,True,False,Need-based,Standard,13.0
36.0,Male,Middle,Widowed,Master's,Middle,Books,$182.72 ,5.0,Online,2.0,1.0,2.0,High,Very Sensitive,,7.0,,Desktop,Other,6/4/2024,False,False,Impulsive,,13.0
43.0,Male,High,Widowed,High School,Middle,Jewelry & Accessories,$260.22 ,11.0,In-Store,4.0,3.0,0.0,,Not Sensitive,2.0,5.0,High,Desktop,Credit Card,11/20/2024,False,,Need-based,Express,13.0
26.0,,High,Single,High School,Middle,Food & Beverages,$454.93 ,8.0,Online,3.0,5.0,0.0,Low,Somewhat Sensitive,2.0,7.0,Medium,Desktop,Debit Card,4/21/2024,False,False,Wants-based,No Preference,11.0
29.0,Male,,Widowed,Bachelor's,High,Beauty & Personal Care,$325.42 ,11.0,In-Store,2.0,4.0,2.0,Low,Not Sensitive,1.0,1.0,High,Desktop,Other,10/20/2024,True,,Impulsive,Express,7.0
,Female,Middle,Widowed,High School,High,Jewelry & Accessories,$351.36 ,2.0,In-Store,5.0,3.0,2.0,High,Very Sensitive,2.0,6.0,,Desktop,Other,2/9/2024,False,True,Need-based,Standard,7.0
40.0,Male,High,Single,Bachelor's,Middle,Baby Products,$333.63 ,8.0,Mixed,4.0,5.0,2.0,,Very Sensitive,2.0,2.0,High,Smartphone,Other,12/5/2024,False,False,Need-based,Express,14.0
42.0,Female,High,Married,Bachelor's,Middle,Beauty & Personal Care,$469.90 ,4.0,Mixed,2.0,5.0,1.0,Low,Not Sensitive,1.0,7.0,,Desktop,Cash,6/28/2024,,False,Planned,No Preference,
28.0,Male,High,Married,Bachelor's,High,Mobile Accessories,$207.52 ,4.0,In-Store,3.0,4.0,,Low,Not Sensitive,1.0,8.0,High,Desktop,Debit Card,8/6/2024,False,False,Impulsive,No Preference,2.0
49.0,Male,High,Single,Bachelor's,High,Toys & Games,$125.89 ,7.0,In-Store,3.0,3.0,2.0,,Not Sensitive,1.0,6.0,Medium,Desktop,Debit Card,11/22/2024,False,False,Wants-based,No Preference,13.0
46.0,Female,,Single,Master's,Middle,Electronics,$170.77 ,9.0,Online,5.0,2.0,1.0,Medium,Somewhat Sensitive,2.0,1.0,Low,Smartphone,Credit Card,8/4/2024,False,False,Impulsive,No Preference,4.0
44.0,Female,High,Divorced,,High,Electronics,$63.91 ,2.0,Online,1.0,4.0,2.0,,,,6.0,Medium,Smartphone,Cash,1/12/2024,False,True,Planned,No Preference,12.0
29.0,Male,High,Married,High School,Middle,Clothing,$340.55 ,7.0,In-Store,4.0,5.0,0.0,,Not Sensitive,0.0,7.0,,Desktop,Credit Card,11/19/2024,False,True,Planned,Express,1.0
47.0,,Middle,Divorced,Bachelor's,High,Software & Apps,$378.14 ,6.0,Mixed,2.0,2.0,1.0,Medium,Very Sensitive,1.0,6.0,High,Smartphone,PayPal,9/4/2024,,False,Wants-based,Standard,7.0
37.0,Female,Middle,Married,,Middle,Toys & Games,$235.84 ,9.0,Mixed,5.0,2.0,0.0,,Very Sensitive,2.0,3.0,,Desktop,Cash,8/3/2024,False,False,Planned,No Preference,14.0
47.0,Male,High,Widowed,High School,Middle,Arts & Crafts,$164.44 ,5.0,In-Store,5.0,1.0,2.0,Low,Somewhat Sensitive,1.0,10.0,High,Smartphone,,4/8/2024,False,False,Impulsive,No Preference,5.0
24.0,Male,High,Married,Bachelor's,High,Sports & Outdoors,$455.81 ,3.0,Online,2.0,3.0,1.0,Low,Somewhat Sensitive,1.0,6.0,Medium,Smartphone,Debit Card,4/21/2024,False,False,Wants-based,Express,6.0
36.0,Male,High,Widowed,,High,Health Care,$298.32 ,7.0,In-Store,3.0,,1.0,Low,Somewhat Sensitive,2.0,8.0,,Tablet,Other,6/17/2024,True,False,Wants-based,Standard,12.0
36.0,Female,High,Single,Bachelor's,High,Hotels,$351.71 ,7.0,In-Store,2.0,2.0,,Medium,Very Sensitive,1.0,6.0,Medium,Tablet,Other,3/19/2024,True,False,Need-based,Standard,8.0
49.0,Male,Middle,Divorced,Bachelor's,Middle,Toys & Games,$393.48 ,11.0,In-Store,2.0,2.0,0.0,High,Very Sensitive,1.0,10.0,,,Other,8/13/2024,True,True,Need-based,Standard,3.0
19.0,Genderfluid,High,Single,High School,High,Office Supplies,$241.72 ,6.0,Mixed,5.0,2.0,1.0,Medium,Not Sensitive,0.0,8.0,High,Desktop,Debit Card,5/29/2024,False,True,Planned,Express,2.0
27.0,Female,High,Single,Bachelor's,High,Software & Apps,$280.20 ,3.0,In-Store,4.0,2.0,0.0,Medium,Somewhat Sensitive,2.0,7.0,,Desktop,Other,12/3/2024,False,False,Need-based,No Preference,13.0
36.0,Female,Middle,Single,Master's,Middle,Health Supplements,$178.04 ,5.0,Mixed,1.0,1.0,2.0,,Somewhat Sensitive,2.0,,High,Smartphone,Credit Card,9/19/2024,True,True,Impulsive,Express,11.0
37.0,Male,High,Married,Master's,Middle,Packages),$347.99 ,5.0,Mixed,,4.0,1.0,Low,Somewhat Sensitive,0.0,1.0,High,Desktop,PayPal,3/22/2024,True,False,Planned,,6.0
45.0,Female,Middle,Single,Master's,High,Office Supplies,$343.81 ,3.0,In-Store,,5.0,0.0,High,Somewhat Sensitive,0.0,7.0,Medium,Desktop,Credit Card,2/22/2024,False,True,Need-based,Standard,3.0
47.0,Female,Middle,Married,Master's,Middle,Animal Feed,$105.29 ,7.0,In-Store,2.0,5.0,0.0,Low,Very Sensitive,0.0,,High,Desktop,Cash,12/25/2024,False,True,Need-based,Express,4.0
32.0,Male,Middle,Single,High School,Middle,Hotels,$483.66 ,3.0,Online,1.0,4.0,1.0,Medium,Not Sensitive,2.0,1.0,Medium,Desktop,Other,8/27/2024,False,False,Impulsive,Standard,9.0
48.0,Male,Middle,Married,Bachelor's,Middle,Home Appliances,$69.41 ,8.0,Mixed,5.0,3.0,0.0,High,Somewhat Sensitive,1.0,9.0,High,Tablet,Cash,1/28/2024,False,False,Wants-based,Standard,5.0
20.0,Genderfluid,High,Single,Master's,Middle,Toys & Games,$207.18 ,11.0,Online,1.0,3.0,0.0,Low,Somewhat Sensitive,1.0,5.0,High,Tablet,PayPal,,False,False,Wants-based,Standard,8.0
32.0,Male,Middle,Divorced,High School,High,Health Supplements,$454.15 ,11.0,In-Store,2.0,1.0,1.0,High,Not Sensitive,1.0,8.0,High,Smartphone,Cash,12/8/2024,True,True,Planned,Express,13.0
25.0,Male,High,Widowed,High School,High,Groceries,$113.01 ,11.0,In-Store,5.0,2.0,2.0,Low,Very Sensitive,1.0,1.0,,Tablet,Credit Card,5/15/2024,False,True,Impulsive,Express,4.0
42.0,,Middle,Divorced,Bachelor's,Middle,Packages),,4.0,Mixed,3.0,5.0,1.0,,Not Sensitive,0.0,1.0,,Smartphone,Cash,8/3/2024,False,True,Wants-based,Express,6.0
37.0,Female,High,Single,Bachelor's,High,Jewelry & Accessories,$183.86 ,5.0,Mixed,1.0,1.0,2.0,Medium,Not Sensitive,1.0,4.0,Low,Smartphone,Debit Card,10/7/2024,False,True,Wants-based,Standard,3.0
21.0,Genderfluid,Middle,Widowed,Master's,Middle,Packages),$53.87 ,10.0,In-Store,4.0,3.0,0.0,Medium,,0.0,10.0,High,Tablet,Cash,6/25/2024,True,False,Planned,No Preference,2.0
,Female,High,Widowed,Bachelor's,High,,$427.82 ,9.0,In-Store,5.0,5.0,0.0,Medium,Somewhat Sensitive,1.0,2.0,Medium,Desktop,PayPal,4/4/2024,True,False,Wants-based,No Preference,14.0
29.0,Female,High,Divorced,Bachelor's,Middle,Packages),$282.82 ,6.0,In-Store,5.0,3.0,,Medium,Very Sensitive,2.0,,,Desktop,,,False,True,Wants-based,Standard,3.0
28.0,Male,Middle,Divorced,Master's,Middle,Electronics,$215.31 ,7.0,Online,5.0,5.0,2.0,Medium,Somewhat Sensitive,1.0,8.0,Medium,Smartphone,Other,4/9/2024,False,True,Impulsive,No Preference,7.0
43.0,Male,Middle,Widowed,Master's,High,Furniture,$183.66 ,11.0,Online,,1.0,1.0,Low,Very Sensitive,0.0,10.0,Medium,Tablet,Credit Card,4/18/2024,True,True,Planned,No Preference,6.0
48.0,Female,High,Divorced,High School,Middle,Baby Products,$198.73 ,10.0,In-Store,1.0,5.0,2.0,,Very Sensitive,1.0,5.0,,Desktop,Other,,True,False,Impulsive,Standard,4.0
26.0,Female,Middle,Married,High School,High,Travel & Leisure (Flights,$265.72 ,5.0,Mixed,5.0,4.0,0.0,,Very Sensitive,,9.0,,Tablet,Debit Card,4/22/2024,True,True,Planned,Express,13.0
42.0,Male,Middle,Married,Master's,High,Software & Apps,$138.35 ,2.0,Online,4.0,5.0,2.0,Low,Not Sensitive,0.0,,Low,Smartphone,Other,7/14/2024,True,True,Wants-based,No Preference,8.0
27.0,Male,Middle,,Bachelor's,Middle,Groceries,,3.0,Mixed,1.0,2.0,1.0,High,Somewhat Sensitive,0.0,10.0,Medium,Smartphone,PayPal,9/10/2024,True,False,Wants-based,,13.0
40.0,Female,Middle,Married,Master's,Middle,Clothing,$178.29 ,4.0,Mixed,4.0,,2.0,Low,Very Sensitive,2.0,,High,Desktop,Cash,7/29/2024,,True,Planned,No Preference,8.0
23.0,Male,Middle,Widowed,High School,High,Sports & Outdoors,$77.08 ,10.0,Mixed,,1.0,0.0,High,,0.0,8.0,,Tablet,PayPal,10/15/2024,True,True,Impulsive,Standard,1.0
46.0,Male,High,Married,High School,High,Office Supplies,$266.90 ,11.0,Mixed,4.0,2.0,2.0,Low,Not Sensitive,1.0,8.0,Medium,Desktop,PayPal,7/1/2024,False,True,Wants-based,Express,13.0
38.0,Female,Middle,Divorced,Bachelor's,High,Electronics,$269.84 ,4.0,In-Store,5.0,4.0,0.0,Low,Not Sensitive,2.0,9.0,Low,Tablet,Credit Card,5/4/2024,True,True,Wants-based,No Preference,2.0
23.0,Male,Middle,Married,Master's,High,,$334.22 ,8.0,Online,2.0,2.0,2.0,,Very Sensitive,2.0,8.0,,Tablet,Cash,3/2/2024,False,False,Need-based,Standard,1.0
40.0,Female,Middle,Married,High School,High,Travel & Leisure (Flights,$474.56 ,8.0,In-Store,1.0,5.0,2.0,Low,Not Sensitive,1.0,6.0,High,Smartphone,PayPal,4/17/2024,True,False,Planned,Standard,12.0
34.0,Male,High,Married,Master's,High,Electronics,$360.91 ,4.0,Mixed,3.0,5.0,1.0,High,Somewhat Sensitive,0.0,8.0,High,Desktop,Credit Card,8/30/2024,True,True,Planned,No Preference,4.0
44.0,,Middle,Widowed,Bachelor's,High,Groceries,$373.49 ,6.0,Online,4.0,1.0,0.0,Medium,Very Sensitive,,10.0,Low,Tablet,Cash,4/23/2024,True,True,Impulsive,Standard,1.0
32.0,,High,Married,Master's,Middle,Sports & Outdoors,$462.30 ,5.0,Mixed,3.0,3.0,2.0,,Not Sensitive,2.0,4.0,Medium,Tablet,Cash,11/25/2024,True,True,Impulsive,Standard,4.0
42.0,Female,Middle,Single,Master's,Middle,Toys & Games,$332.67 ,8.0,In-Store,1.0,4.0,2.0,Medium,Somewhat Sensitive,1.0,2.0,High,Smartphone,Other,12/11/2024,False,True,Impulsive,Express,4.0
22.0,Female,High,Divorced,Master's,,Home Appliances,$235.39 ,9.0,Online,5.0,4.0,1.0,,Not Sensitive,0.0,6.0,,Smartphone,,5/25/2024,False,True,Planned,No Preference,6.0
44.0,,Middle,,High School,Middle,Packages),$269.78 ,7.0,In-Store,2.0,3.0,1.0,Medium,Somewhat Sensitive,2.0,7.0,Medium,Desktop,Other,7/25/2024,True,True,Need-based,No Preference,5.0
29.0,Male,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,$498.33 ,2.0,Online,3.0,5.0,2.0,Medium,Very Sensitive,1.0,9.0,Medium,Smartphone,PayPal,5/8/2024,True,True,Wants-based,Express,1.0
30.0,Female,High,Single,High School,High,Health Supplements,$182.94 ,7.0,Mixed,1.0,5.0,2.0,,Not Sensitive,2.0,7.0,Low,Desktop,Other,5/28/2024,True,True,Need-based,Express,12.0
19.0,Female,Middle,Divorced,Master's,High,Health Supplements,$121.70 ,7.0,Mixed,4.0,,,High,,2.0,5.0,,Smartphone,Credit Card,6/24/2024,True,True,Planned,Standard,8.0
45.0,Female,High,Widowed,Master's,Middle,,$489.27 ,4.0,Mixed,1.0,4.0,1.0,High,Somewhat Sensitive,1.0,3.0,,Tablet,Debit Card,1/13/2024,False,False,Wants-based,Standard,3.0
,Male,,Married,Bachelor's,Middle,Software & Apps,$303.93 ,6.0,Mixed,3.0,2.0,0.0,High,Not Sensitive,1.0,10.0,Low,Smartphone,Debit Card,3/13/2024,True,False,Need-based,No Preference,2.0
24.0,Female,Middle,Married,Bachelor's,Middle,Food & Beverages,$302.74 ,11.0,Mixed,1.0,5.0,0.0,High,,0.0,6.0,High,Smartphone,PayPal,6/28/2024,True,True,Wants-based,Express,5.0
42.0,Genderqueer,High,Single,Bachelor's,High,Beauty & Personal Care,$157.21 ,11.0,Online,3.0,3.0,0.0,Medium,Not Sensitive,,3.0,High,Tablet,Debit Card,4/30/2024,True,False,Wants-based,Express,5.0
46.0,Female,High,Widowed,High School,High,Sports & Outdoors,$159.45 ,2.0,Online,3.0,2.0,2.0,Medium,Very Sensitive,0.0,5.0,,Smartphone,Debit Card,6/14/2024,True,False,Impulsive,Standard,14.0
44.0,Female,High,Widowed,High School,Middle,Luxury Goods,$312.93 ,2.0,In-Store,2.0,2.0,1.0,High,Very Sensitive,0.0,7.0,,Smartphone,PayPal,8/4/2024,True,True,Wants-based,No Preference,3.0
38.0,Male,High,Married,Master's,Middle,Hotels,$65.68 ,4.0,,4.0,,0.0,Medium,Not Sensitive,0.0,8.0,Medium,Smartphone,Other,5/7/2024,False,False,Impulsive,Standard,12.0
44.0,Male,Middle,Single,Master's,Middle,Software & Apps,$61.86 ,5.0,In-Store,4.0,5.0,2.0,,Not Sensitive,2.0,8.0,,Smartphone,Cash,11/15/2024,False,True,Need-based,Standard,
18.0,Female,High,Single,Master's,Middle,Electronics,$343.77 ,6.0,Mixed,5.0,4.0,2.0,,Not Sensitive,2.0,4.0,Medium,Desktop,Credit Card,2/16/2024,True,False,Impulsive,No Preference,3.0
37.0,Male,Middle,Divorced,Master's,,Home Appliances,$107.21 ,2.0,Online,4.0,2.0,1.0,,Not Sensitive,2.0,9.0,Medium,Desktop,Other,8/5/2024,,True,Planned,Standard,6.0
31.0,Genderfluid,High,Single,Master's,Middle,Home Appliances,$148.98 ,12.0,Online,5.0,1.0,2.0,,Very Sensitive,,8.0,Low,Tablet,Debit Card,8/11/2024,True,True,Wants-based,Standard,13.0
22.0,Female,High,Widowed,Master's,Middle,Health Care,$490.41 ,4.0,Mixed,3.0,4.0,0.0,Low,Somewhat Sensitive,0.0,2.0,High,Tablet,Other,12/15/2024,False,True,Planned,Express,3.0
33.0,Male,High,Married,High School,Middle,Groceries,$461.34 ,4.0,In-Store,3.0,1.0,0.0,High,Somewhat Sensitive,1.0,9.0,Low,Desktop,Cash,3/6/2024,False,True,Wants-based,Express,7.0
